,fight,count,percentage
359,New Jersey Devils x St. Louis Blues,8,0.07750435962022863
360,Carolina Hurricanes x San Jose Sharks,8,0.07750435962022863
361,Pittsburgh Penguins x Vancouver Canucks,8,0.07750435962022863
362,Chicago Blackhawks x Pittsburgh Penguins,8,0.07750435962022863
363,Buffalo Sabres x Chicago Blackhawks,7,0.06781631466770006
364,New York Islanders x St. Louis Blues,7,0.06781631466770006
365,Carolina Hurricanes x Columbus Blue Jackets,7,0.06781631466770006
366,Montreal Canadiens x St. Louis Blues,7,0.06781631466770006
367,Los Angeles Kings x Montreal Canadiens,7,0.06781631466770006
368,Los Angeles Kings x Pittsburgh Penguins,7,0.06781631466770006
369,Carolina Hurricanes x Minnesota Wild,7,0.06781631466770006
370,Detroit Red Wings x Minnesota Wild,7,0.06781631466770006
371,San Jose Sharks x Tampa Bay Lightning,7,0.06781631466770006
372,Buffalo Sabres x Colorado Avalanche,7,0.06781631466770006
373,Columbus Blue Jackets x Winnipeg Jets,7,0.06781631466770006
374,Colorado Avalanche x Philadelphia Flyers,7,0.06781631466770006
375,Buffalo Sabres x Detroit Red Wings,7,0.06781631466770006
376,Philadelphia Flyers x Winnipeg Jets,7,0.06781631466770006
377,Carolina Hurricanes x Winnipeg Jets,7,0.06781631466770006
378,Boston Bruins x Detroit Red Wings,7,0.06781631466770006
379,Buffalo Sabres x Winnipeg Jets,6,0.058128269715171474
380,New York Islanders x Winnipeg Jets,6,0.058128269715171474
381,Colorado Avalanche x New York Islanders,6,0.058128269715171474
382,Carolina Hurricanes x Los Angeles Kings,6,0.058128269715171474
383,Minnesota Wild x New Jersey Devils,6,0.058128269715171474
384,Chicago Blackhawks x Washington Capitals,6,0.058128269715171474
385,Colorado Avalanche x Vegas Golden Knights,6,0.058128269715171474
386,New York Islanders x Vancouver Canucks,6,0.058128269715171474
387,Minnesota Wild x Tampa Bay Lightning,6,0.058128269715171474
388,Dallas Stars x Ottawa Senators,6,0.058128269715171474
389,Chicago Blackhawks x Toronto Maple Leafs,6,0.058128269715171474
390,Detroit Red Wings x New Jersey Devils,6,0.058128269715171474
391,New York Rangers x San Jose Sharks,6,0.058128269715171474
392,Vegas Golden Knights x Winnipeg Jets,5,0.0484402247626429
393,Nashville Predators x Vegas Golden Knights,5,0.0484402247626429
394,New Jersey Devils x Winnipeg Jets,5,0.0484402247626429
395,Calgary Flames x Winnipeg Jets,5,0.0484402247626429
396,Buffalo Sabres x San Jose Sharks,5,0.0484402247626429
397,Montreal Canadiens x San Jose Sharks,5,0.0484402247626429
398,San Jose Sharks x Vegas Golden Knights,5,0.0484402247626429
399,Minnesota Wild x Seattle Kraken,4,0.038752179810114314
400,Detroit Red Wings x Montreal Canadiens,4,0.038752179810114314
401,Buffalo Sabres x Vancouver Canucks,4,0.038752179810114314
402,Carolina Hurricanes x Edmonton Oilers,4,0.038752179810114314
403,Carolina Hurricanes x Chicago Blackhawks,4,0.038752179810114314
404,Dallas Stars x New York Islanders,4,0.038752179810114314
405,Carolina Hurricanes x Detroit Red Wings,4,0.038752179810114314
406,New York Rangers x Vegas Golden Knights,4,0.038752179810114314
407,Chicago Blackhawks x Ottawa Senators,4,0.038752179810114314
408,Vancouver Canucks x Washington Capitals,4,0.038752179810114314
409,Los Angeles Kings x Vegas Golden Knights,4,0.038752179810114314
410,Anaheim Ducks x Seattle Kraken,4,0.038752179810114314
411,San Jose Sharks x Seattle Kraken,4,0.038752179810114314
412,St. Louis Blues x Vegas Golden Knights,4,0.038752179810114314
413,Nashville Predators x New Jersey Devils,3,0.029064134857585737
414,Detroit Red Wings x New York Rangers,3,0.029064134857585737
415,Minnesota Wild x Vegas Golden Knights,3,0.029064134857585737
416,Ottawa Senators x Vegas Golden Knights,3,0.029064134857585737
417,Calgary Flames x Seattle Kraken,3,0.029064134857585737
418,Buffalo Sabres x Vegas Golden Knights,3,0.029064134857585737
419,Tampa Bay Lightning x Vegas Golden Knights,3,0.029064134857585737
420,Detroit Red Wings x Pittsburgh Penguins,3,0.029064134857585737
421,Carolina Hurricanes x Nashville Predators,3,0.029064134857585737
422,Vancouver Canucks x Vegas Golden Knights,3,0.029064134857585737
423,New York Islanders x Vegas Golden Knights,3,0.029064134857585737
424,New Jersey Devils x Seattle Kraken,3,0.029064134857585737
425,Colorado Avalanche x Seattle Kraken,3,0.029064134857585737
426,Edmonton Oilers x Seattle Kraken,3,0.029064134857585737
427,Seattle Kraken x Vegas Golden Knights,3,0.029064134857585737
428,Detroit Red Wings x Washington Capitals,3,0.029064134857585737
429,Philadelphia Flyers x Seattle Kraken,3,0.029064134857585737
430,Edmonton Oilers x Vegas Golden Knights,2,0.019376089905057157
431,Chicago Blackhawks x Seattle Kraken,2,0.019376089905057157
432,Carolina Hurricanes x Seattle Kraken,2,0.019376089905057157
433,Dallas Stars x Vegas Golden Knights,2,0.019376089905057157
